Start,End,Open,High,Low,Close,Volume,Market Cap,Close_Z
21/01/2025,22/01/2025,101743,107133,100480,106198,1.39086E+11,2.05871E+12,101926
20/01/2025,21/01/2025,100825,109079,99832.98,101926,1.48057E+11,2.07388E+12,101378
19/01/2025,20/01/2025,104401,106354,99673.27,101378,71704147686,2.07445E+12,104415
18/01/2025,19/01/2025,104227,104959,102360,104415,79851654022,2.05641E+12,104119
17/01/2025,18/01/2025,100045,105828,100044,104119,80029703797,2.0366E+12,100050
16/01/2025,17/01/2025,100491,100616,97514.91,100050,74992466216,1.9717E+12,100280
15/01/2025,16/01/2025,96506.98,100638,96506.98,100280,70069304046,1.94283E+12,96624.15
14/01/2025,15/01/2025,94523.94,97316.06,94354.8,96624.15,89162525731,1.89968E+12,94474.29
13/01/2025,14/01/2025,94583.86,95759.98,90000.02,94474.29,60704225079,1.84304E+12,94489.93
12/01/2025,13/01/2025,94635.04,95314.07,93804.15,94489.93,26704832659,1.8727E+12,94595.97
11/01/2025,12/01/2025,94705.81,95009.18,93900.15,94595.97,60600829825,1.86974E+12,94749.98
10/01/2025,11/01/2025,92592.4,95738.27,92418.35,94749.98,84405720218,1.86636E+12,92406.11
09/01/2025,10/01/2025,94962.47,95340.9,91245.71,92406.11,85716154824,1.85127E+12,95059.96
08/01/2025,09/01/2025,96712,97268.67,92991.31,95059.96,85737267513,1.89119E+12,96916.64
07/01/2025,08/01/2025,102109,102444,96206.19,96916.64,72033067739,1.97886E+12,102222
06/01/2025,07/01/2025,98457.51,102440,97983.22,102222,53401942771,1.98411E+12,98394.57
05/01/2025,06/01/2025,98216.11,98757.56,97339.16,98394.57,33142539324,1.94256E+12,98259.43
04/01/2025,05/01/2025,98209.88,98727.99,97560.78,98259.43,47085373031,1.94155E+12,98126.64
03/01/2025,04/01/2025,96981.54,98944.63,96123.56,98126.64,58117695883,1.92608E+12,96949.18
02/01/2025,03/01/2025,94474.31,97820.94,94459.99,96949.18,52199445640,1.90709E+12,94610.14
01/01/2025,02/01/2025,93650.83,95074.46,93070.57,94610.14,51859876688,1.86069E+12,93647.01
31/12/2024,01/01/2025,92728.07,96016.01,92161.96,93647.01,75351850924,1.85649E+12,92811.03
30/12/2024,31/12/2024,93610.59,94951.18,91603.06,92811.03,58331914972,1.85069E+12,93659.56
29/12/2024,30/12/2024,95233.87,95272.03,93069.72,93659.56,35660027972,1.87284E+12,95204.07
28/12/2024,29/12/2024,94394.88,95394.07,94098.12,95204.07,54047947733,1.87543E+12,94452.57
27/12/2024,28/12/2024,95848.07,97199.96,93527.75,94452.57,66231541526,1.89253E+12,95830.42
26/12/2024,27/12/2024,99792,99940.03,95249.51,95830.42,58620968527,1.91542E+12,99436
25/12/2024,26/12/2024,98612.37,99436,97676.75,99436,62036161614,1.9497E+12,98805.9
24/12/2024,25/12/2024,94736.64,99280.01,93712.18,98805.9,76323175683,1.89906E+12,94748.02
23/12/2024,24/12/2024,95181.3,96433.71,92587.99,94748.02,74389445086,1.87639E+12,95136.87
22/12/2024,23/12/2024,97178.72,97408.04,94288.04,95136.87,60172030056,1.9063E+12,97253.03
21/12/2024,22/12/2024,97696.08,99490.36,96639.15,97253.03,1.03445E+11,1.93388E+12,97691.36
20/12/2024,21/12/2024,97611.97,98200.45,92450,97691.36,1.39703E+11,1.90906E+12,97874.66
19/12/2024,20/12/2024,100573,102672,96026.57,97874.66,1.28537E+11,1.98517E+12,100368
18/12/2024,19/12/2024,106053,106444,100172,100368,1.22106E+11,2.05758E+12,106052
17/12/2024,18/12/2024,105999,108239,105549,106052,1.24225E+11,2.11252E+12,106010
16/12/2024,17/12/2024,104608,107768,103425,106010,1.17243E+11,2.08495E+12,104621
15/12/2024,16/12/2024,101478,104921,101316,104621,74032778622,2.02965E+12,101364
14/12/2024,15/12/2024,101401,102589,100706,101364,90624467771,2.00915E+12,101371
13/12/2024,14/12/2024,100068,101818,99295.32,101371,1.09867E+11,1.98891E+12,100041
12/12/2024,13/12/2024,101062,102497,99422.23,100041,1.19055E+11,1.99423E+12,101074
11/12/2024,12/12/2024,96716.03,101825,95777.21,101074,1.37792E+11,1.95591E+12,96628.01
10/12/2024,11/12/2024,97052.54,98128.02,94371.1,96628.01,1.66373E+11,1.91691E+12,97422.43
09/12/2024,10/12/2024,100968,100968,94947.98,97422.43,1.06532E+11,1.94927E+12,101215
08/12/2024,09/12/2024,99907.98,101215,98843.96,101215,66927756251,1.97512E+12,99699.99
07/12/2024,08/12/2024,99820.38,100428,99055.93,99699.99,1.1332E+11,1.97284E+12,99798.48
06/12/2024,07/12/2024,96580.04,101861,96520.48,99798.48,1.88013E+11,1.95705E+12,97013.92
05/12/2024,06/12/2024,98519.93,103484,93912.02,97013.92,1.84824E+11,2.00066E+12,98730.99
04/12/2024,05/12/2024,95903.26,98975.08,94814.65,98730.99,1.05283E+11,1.90842E+12,95970.93
03/12/2024,04/12/2024,95836.05,96238.1,93618.44,95970.93,1.06466E+11,1.89016E+12,95807.6
02/12/2024,03/12/2024,97183.98,98051.18,94625.38,95807.6,85292808200,1.9011E+12,97236.3
01/12/2024,02/12/2024,96505.88,97767.64,95776.26,97236.3,53606873252,1.91692E+12,96436.01
30/11/2024,01/12/2024,97317.53,97329.92,96137.48,96436.01,75686925476,1.91349E+12,97383.7
29/11/2024,30/11/2024,95627.24,98564.62,95432.02,97383.7,73540702253,1.91538E+12,95632.03
28/11/2024,29/11/2024,95850.02,96560.02,94688,95632.03,91367563527,1.88767E+12,95899.86
27/11/2024,28/11/2024,91826.51,97208.23,91808,95899.86,1.05996E+11,1.8645E+12,91993.22
26/11/2024,27/11/2024,93064.01,94915.39,90860.03,91993.22,1.30295E+11,1.84294E+12,93079.67
25/11/2024,26/11/2024,97736.05,98746.64,92896.18,93079.67,81967757600,1.91457E+12,97867.46
24/11/2024,25/11/2024,97693.54,98515.16,95759.99,97867.46,59912158588,1.92772E+12,97628.02
23/11/2024,24/11/2024,98788.34,98874.93,97191.99,97628.02,83162177004,1.94447E+12,98851.49
22/11/2024,23/11/2024,98311.38,99498.52,97252,98851.49,1.20716E+11,1.95224E+12,98425.93
21/11/2024,22/11/2024,94267.41,98789.88,94111.91,98425.93,1.24062E+11,1.92087E+12,94174.71
20/11/2024,21/11/2024,92212.04,94819.96,91505.99,94174.71,1.04283E+11,1.84578E+12,92119.47
19/11/2024,20/11/2024,90406.06,93836.94,90406.06,92119.47,1.03897E+11,1.81854E+12,90549.34
18/11/2024,19/11/2024,89782.53,92532,89453.11,90549.34,78257155574,1.79925E+12,89763.59
17/11/2024,18/11/2024,90642.34,91447.99,88768.66,89763.59,59020288900,1.78738E+12,90543.67
16/11/2024,17/11/2024,91135.39,91735.96,90131.55,90543.67,87437209942,1.80136E+12,90949.94
15/11/2024,16/11/2024,87681.91,91741.72,87140.65,90949.94,1.15603E+11,1.76363E+12,87347.45
14/11/2024,15/11/2024,90224.2,91637.55,86938.85,87347.45,1.53146E+11,1.77391E+12,90300.02
13/11/2024,14/11/2024,88144.01,93243.92,86204.37,90300.02,1.60918E+11,1.75901E+12,88164.77
12/11/2024,13/11/2024,88213.99,89800.23,85175.97,88164.77,2.00971E+11,1.73859E+12,88627.98
11/11/2024,12/11/2024,80486.91,89424.41,80381.97,88627.98,1.15609E+11,1.64299E+12,80409.97
10/11/2024,11/11/2024,76539.97,81233.28,76539.97,80409.97,71609202780,1.56383E+12,76615.99
09/11/2024,10/11/2024,76424.82,76893.95,75838,76615.99,57291171256,1.5099E+12,76544.78
08/11/2024,09/11/2024,75927.95,77115.59,75638.04,76544.78,74504748582,1.50492E+12,75919.31
07/11/2024,08/11/2024,75597.01,76751.96,74433.97,75919.31,1.03485E+11,1.48965E+12,75567.57
06/11/2024,07/11/2024,69521.94,76097.95,69439.38,75567.57,1.37251E+11,1.46511E+12,69348.54
05/11/2024,06/11/2024,67853.77,70435.69,67481.95,69348.54,59336565217,1.36373E+12,67792.92
04/11/2024,05/11/2024,68670.68,69346.28,66948.02,67792.92,48962107476,1.35344E+12,68832.86
03/11/2024,04/11/2024,69316,69373.64,67593.72,68832.86,36194109864,1.35397E+12,69319.96
02/11/2024,03/11/2024,69608,69896.03,69086.03,69319.96,50326627050,1.37427E+12,69531.96
01/11/2024,02/11/2024,70346.9,71520.59,68866.03,69531.96,64764647004,1.37847E+12,70340.01
31/10/2024,01/11/2024,72368.05,72625.19,69788.84,70340.01,53854409839,1.414E+12,72359.86
30/10/2024,31/10/2024,72679.98,72865.93,71511.03,72359.86,71130395353,1.42772E+12,72782.82
29/10/2024,30/10/2024,69868.02,73534.9,69787.87,72782.82,69264084198,1.41531E+12,69892.45
28/10/2024,29/10/2024,68033.02,70130.8,67651.1,69892.45,37114871114,1.35716E+12,68029.34
27/10/2024,28/10/2024,67082.64,68300.39,66857.06,68029.34,24371770054,1.33308E+12,67102.01
26/10/2024,27/10/2024,66651.97,67363.21,66542.03,67102.01,55642452451,1.32443E+12,66637.8
25/10/2024,26/10/2024,68233.69,68680.88,65750.97,66637.8,47280935129,1.3369E+12,68234.05
24/10/2024,25/10/2024,66649.97,68704.49,66550.03,68234.05,50123672098,1.33485E+12,66745.54
23/10/2024,24/10/2024,67405.32,67405.32,65269.97,66745.54,46287674514,1.3167E+12,67393.99
22/10/2024,23/10/2024,67386.24,67781.79,66698,67393.99,55116769379,1.33108E+12,67440.04
21/10/2024,22/10/2024,68997.53,69414.08,66865.98,67440.04,45600677050,1.34746E+12,68987.76
20/10/2024,21/10/2024,68393.94,69315.86,68114.03,68987.76,21401472338,1.35318E+12,68394.04
19/10/2024,20/10/2024,68471.68,68639.99,68042.04,68394.04,39854632470,1.34979E+12,68465.29
18/10/2024,19/10/2024,67399.86,68963.99,67194.06,68465.29,54278095716,1.34666E+12,67363.67
17/10/2024,18/10/2024,67701.14,67923.93,66803.61,67363.67,51428967059,1.32951E+12,67657.43
16/10/2024,17/10/2024,67045.13,68274.26,66793.33,67657.43,85047855180,1.33413E+12,66984.04
15/10/2024,16/10/2024,66091.69,67759.99,64989.97,66984.04,1.16765E+11,1.30632E+12,66085.97
14/10/2024,15/10/2024,62827.65,66419.87,62484.15,66085.97,99886309611,1.28088E+12,62806.34
13/10/2024,14/10/2024,63279.91,63279.91,62055.98,62806.34,79286610370,1.23995E+12,63216.04
12/10/2024,13/10/2024,62575.79,63440.44,62499.99,63216.04,95040455894,1.24377E+12,62410.61
11/10/2024,12/10/2024,60290.3,63270.59,60113.2,62410.61,97531320750,1.21592E+12,60260.02
10/10/2024,11/10/2024,60603.9,61300.02,59017,60260.02,93419872143,1.1972E+12,60647.99
09/10/2024,10/10/2024,62130.05,62530.42,60439.87,60647.99,93092147716,1.22268E+12,62215.97
08/10/2024,09/10/2024,62319.44,63130.04,61912.01,62215.97,1.0724E+11,1.23379E+12,62300.75
07/10/2024,08/10/2024,62845.99,64436.04,62213.98,62300.75,96095290446,1.25278E+12,62823.43
06/10/2024,07/10/2024,62000.06,62915.02,61839.92,62823.43,73632122102,1.23067E+12,62084
05/10/2024,06/10/2024,62198.05,62331.35,61723.39,62084,90303823444,1.22636E+12,62110.02
04/10/2024,05/10/2024,60788.37,62445.33,60488.64,62110.02,1.0718E+11,1.21659E+12,60776.01
03/10/2024,04/10/2024,60546.49,61464.04,60077.99,60776.01,1.15064E+11,1.20137E+12,60670.03
02/10/2024,03/10/2024,60816.01,62227.26,60005.98,60670.03,1.20578E+11,1.21108E+12,60888.04
01/10/2024,02/10/2024,63344,64125.97,60395.96,60888.04,1.09318E+11,1.24238E+12,63290
30/09/2024,01/10/2024,65540,65554.02,63022.02,63290,96312396820,1.26538E+12,65668.25
29/09/2024,30/09/2024,65860.6,66052,65438,65668.25,77961286117,1.29864E+12,65923.99
28/09/2024,29/09/2024,65816.87,66190.2,65436.71,65923.99,93228914145,1.29929E+12,65762.47
27/09/2024,28/09/2024,65107.96,66380.99,64850.01,65762.47,1.14292E+11,1.29641E+12,65142.08
26/09/2024,27/09/2024,63140.63,65616.04,62792.05,65142.08,1.03723E+11,1.27002E+12,63165.61
25/09/2024,26/09/2024,64208.02,64669.95,62957.27,63165.61,1.03768E+11,1.25973E+12,64335.62
24/09/2024,25/09/2024,63346.7,64587.13,62752.04,64335.62,1.03073E+11,1.25492E+12,63332.69
23/09/2024,24/09/2024,63467.95,64644.96,62842.02,63332.69,1.07862E+11,1.25502E+12,63575.97
